FILE	 PrDir	 PrSpd	 PrHDsp	 RFX	 RFY	 RFDiam	 Nthr	 NSlp	 Mthr	 MSlp	 NthrSim	 NslpSim	 DspLo	 DspHi	 Ntrials	
m1c153r5.htb	  160.0	   4.00	  0.300	  -5.50	  -2.20	   8.00	 24.59149	 1.84788	 17.52039	 2.10432	 15.33634	 1.96989	 -0.300	  0.300	  280	
m1c154r7.htb	  340.0	   4.00	  0.200	  -0.70	  -4.70	   8.00	 18.72754	 1.62395	 15.58313	 1.79413	 14.53213	 1.54264	 -0.200	  0.200	  427	
m1c156r6.htb	  215.0	   4.00	  0.200	  -7.00	   1.80	  13.00	 31.22572	 1.36202	 11.70852	 1.49703	 25.01016	 1.60602	 -0.600	  0.200	  320	
m1c157r5.htb	   25.0	   4.00	  0.700	  -5.50	   0.30	  10.00	 75.60823	 1.55123	 25.65789	 1.67778	 61.28512	 1.36371	 -1.300	  0.700	  320	
m1c159r9.htb	   70.0	   2.50	  0.050	 -10.00	  -1.80	  16.00	 19.35997	 1.70103	 16.50771	 1.43069	 16.09653	 1.54463	 -0.400	  0.050	  280	
m1c160r6.htb	  230.0	  13.00	 -1.000	  -3.00	   0.60	   4.00	 28.70412	 1.50804	 35.11499	 1.14697	 22.52364	 1.43515	 -1.000	  0.500	  353	
m1c162r6.htb	   10.0	   1.00	 -0.400	  -3.70	   1.80	   6.00	 31.28036	 2.42705	 24.43037	 2.77635	 23.93000	 1.28399	 -0.400	  0.400	  280	
m1c163r6.htb	  135.0	  13.00	 -1.000	  -5.40	   4.00	   8.00	 20.90985	 2.01004	 19.62025	 1.60280	 18.46841	 3.03172	 -1.000	  0.500	  560	
m1c165r7.htb	   20.0	   7.00	 -0.800	  -1.50	   1.20	   3.50	 80.79888	 1.10723	 40.03009	 1.32350	 61.07385	 1.14054	 -0.800	  0.500	  640	
m1c166r6.htb	  250.0	   7.00	 -0.400	  -3.60	   2.70	   7.00	 15.56065	 1.81916	 16.57271	 1.74075	 13.38884	 1.64806	 -0.400	  0.400	  425	
m1c167r7.htb	   60.0	   3.00	  0.050	  -3.40	   4.30	   8.00	 12.89231	 0.97156	 12.77652	 1.42950	 11.85169	 0.92060	 -0.500	  0.050	  349	
m1c168r7.htb	   80.0	   8.00	 -0.100	  -3.50	   4.00	   6.00	 17.64522	 2.06908	 27.66733	 1.18379	 15.84976	 2.19934	 -0.100	  0.500	  410	
m1c171r6.htb	   75.0	   0.50	 -0.100	  -2.60	  -5.90	   8.00	 29.22509	 30.45098	 26.53478	 2.08566	 25.43000	 2.02048	 -0.100	  0.400	  280	
m1c172r6.htb	  250.0	   3.00	 -0.400	  -2.40	  -5.70	   8.00	 19.92750	 1.57458	 17.94536	 1.45373	 16.21320	 1.47650	 -0.400	  0.400	  497	
m1c175r6.htb	  170.0	   5.00	 -1.000	  -3.80	  -2.80	   5.00	 24.15714	 1.86520	 20.78565	 0.92652	 19.89558	 2.08782	 -1.000	  0.400	  332	
m1c178r6.htb	   65.0	   2.00	 -0.200	  -3.40	  -6.00	  11.00	 11.02673	 1.31686	 14.81604	 2.19633	 9.43754	 1.32411	 -0.200	  0.400	  505	
m1c183r5.htb	   90.0	  15.00	 -1.000	  -6.20	   3.00	   9.00	 22.70262	 1.23654	 43.13332	 5.29648	 19.31731	 1.18370	 -1.000	  0.500	  246	
m1c184r6.htb	  190.0	  15.00	 -0.800	  -6.50	  -2.10	   5.50	 25.80863	 1.31191	 20.62641	 1.44962	 20.56379	 1.25723	 -0.800	  0.800	  336	
m1c185r6.htb	   60.0	  25.00	 -2.000	 -15.00	   4.70	  16.00	 24.13919	 1.63478	 34.58142	 1.20340	 20.83858	 1.75440	 -2.000	  1.000	  480	
m1c188r6.htb	  330.0	  16.00	 -0.200	 -10.10	   3.70	  10.00	 21.30846	 1.57290	 19.37774	 1.74256	 17.97184	 1.57830	 -0.200	  0.800	  560	
m1c190r6.htb	   70.0	  25.00	  0.700	  -8.10	   2.30	   8.00	 14.52304	 1.15024	 20.59159	 0.91671	 11.47413	 1.24768	 -0.700	  0.700	  441	
m1c193r5.htb	  230.0	   3.00	  0.900	  -8.00	   0.70	  13.00	 18.52513	 1.09460	 21.69207	 1.57513	 13.21676	 1.09011	 -0.400	  0.900	  280	
m1c194r8.htb	  270.0	  20.00	 -0.400	  -9.30	   5.30	   7.00	 30.59229	 1.06039	 26.58435	 1.12881	 24.35635	 1.09028	 -0.400	  0.800	  717	
